episode,global_step,raw_reward,clipped_reward,length,seconds,mean_loss,updates,replay_size,epsilon
1,46,4.0,4.0,46,0.8134524999768473,,0,46,1.0
2,202,10.0,10.0,156,0.07495662500150502,,0,202,0.991
3,230,3.0,3.0,28,0.006364625005517155,,0,230,0.982
4,258,3.0,3.0,28,0.005990541016217321,,0,258,0.973
5,324,7.0,7.0,66,0.021807249984703958,,0,324,0.964
6,341,3.0,3.0,17,0.007814124983269721,,0,341,0.955
7,378,3.0,3.0,37,0.019308916991576552,,0,378,0.946
8,395,2.0,2.0,17,0.011323500017169863,,0,395,0.9369999999999999
9,434,4.0,4.0,39,0.034716415975708514,,0,434,0.9279999999999999
10,500,3.0,3.0,66,0.052470084046944976,,0,500,0.919
11,556,3.0,3.0,56,0.026482207991648465,,0,556,0.91
12,594,3.0,3.0,38,0.026174291968345642,,0,594,0.901
13,661,3.0,3.0,67,0.02850845898501575,,0,661,0.892
14,678,1.0,1.0,17,0.006904791982378811,,0,678,0.883
15,775,11.0,11.0,97,0.06001066602766514,,0,775,0.874
16,902,11.0,11.0,127,0.05901349999476224,,0,902,0.865
17,920,1.0,1.0,18,0.014443582971580327,,0,920,0.856
18,968,3.0,3.0,48,0.031137000012677163,,0,968,0.847
19,1035,6.0,6.0,67,0.5148962090024725,0.09582862834860054,36,1035,0.838
20,1062,2.0,2.0,27,0.1388841249863617,0.9689910360784443,27,1062,0.829
